"","name","followers","proportion"
"1","Christian",2172804407,31.51
"2","Muslim",1598145602,23.18
"3","Unaffiliated",1125764242,16.33
"4","Hindu",1032750475,14.98
"5","Buddhist",488087716,7.08
"6","Folk Religion",404663436,5.87
"7","Other Religion",58789445,0.85
"8","Jewish",13653580,0.2
