"","country","population","area","capital"
"127","Nicaragua","5,666,301","49,998","Managua"
"128","Niger","16,468,886","489,189","Niamey"
"129","Nigeria","155,215,573","356,667","Abuja"
"130","Norway","4,691,849","125,181","Oslo"
"131","Oman","3,027,959","82031","Muscat"
"132","Pakistan","187,342,721","310,401","Islamabad"
"133","Palau","20,956","177","Melekeok"
"134","Panama","3,460,462","30,193","Panama City"
"135","Papua New Guinea","6,187,591","178,703","Port Moresby"
"136","Paraguay","6,459,058","157,046","Asuncion"
"137","Peru","29,248,943","496,223","Lima"
"138","Philippines","101,833,938","115,830","Manila"
"139","Poland","38,441,588","120,728","Warsaw"
"140","Portugal","10,760,305","35,672","Lisbon"
"141","Qatar","848,016","4,416","Doha"
"142","Romania","21,904,551","91,669","Bucharest"
"143","Russia","138,739,892","6,592,735","Moscow"
"144","Rwanda","11,370,425","10,169","Kigali"
"145","Saint Kitts and Nevis","50,314","101","Basseterre"
"146","Saint Lucia","161,557","238","Castries"
"147","Saint Vincent and the Grenadines","103,869","150","Kingstown"
"148","Samoa","193,161","1,137","Apia"
"149","San Marino","31,817","24","San Marino"
"150","Sao Tome and Principe","179,506","386","Sao Tome"
"151","Saudi Arabia","26,131,703","756,981","Riyadh"
"152","Senegal","12,643,799","75,749","Dakar"
"153","Serbia","7,310,555","29,913","Belgrade"
"154","Seychelles","89,188","176","Victoria"
"155","Sierra Leone","5,363,669","27,699","Freetown"
"156","Singapore","4,740,737","267","Singapore"
"157","Slovakia","5,477,038","18,859","Bratislava"
"158","Slovenia","2,000,092","7,827","Ljubljana"
"159","Solomon Islands","571,890","10,985","Honiara"
"160","Somalia","9,925,640","246,199","Mogadishu"
"161","South Africa","49,004,031","471,008","Cape Town"
"162","South Sudan","8,260,490","400,367","Juba"
"163","Spain","46,754,784","194,896","Madrid"
"164","Sri Lanka","21,283,913","25,332","Colombo"
"165","Sudan","45,047,502","728,215","Khartoum"
"166","Suriname","491,989","63,039","Paramaribo"
"167","Swaziland","1,370,424","6,704","Lobamba"
"168","Sweden","9,088,728","173,731","Stockholm"
"169","Switzerland","7,639,961","15,942","Bern"
"170","Syria","22,517,750","71,498","Damascus"
"171","Taiwan","23,071,779","13,892","Taipei"
"172","Tajikistan","7,627,200","55,251","Dushanbe"
"173","Tanzania","42,746,620","364,898","Dodoma"
"174","Thailand","66,720,153","198,455","Bangkok"
"175","Timor-Leste","1,177,834","5,641","Dili"
"176","Togo","6,771,993","21,925","Lome"
"177","Tonga","105,916","289","Nuku'alofa"
"178","Trinidad and Tobago","1,227,505","1,980","Port-of-Spain"
"179","Tunisia","10,629,186","63,170","Tunis"
"180","Turkey","78,785,548","301,382","Ankara"
"181","Turkmenistan","4,997,503","188,455","Ashgabat"
"182","Tuvalu","10,544","10","Funafuti province"
"183","Uganda","34,612,250","91,135","Kampala"
"184","Ukraine","45,134,707","233,089","Kyiv"
"185","United Arab Emirates","5,148,664","32,000","Abu Dhabi"
"186","United Kingdom","62,698,362","94,525","London"
"187","United States","313,232,044","3,718,691","Washington D.C."
"188","Uruguay","3,308,535","68,039","Montevideo"
"189","Uzbekistan","28,128,600","172,741","Tashkent"
"190","Vanuatu","224,564","4,710","Port-Vila"
"191","Vatican City","832","0.17","Vatican City"
"192","Venezuela","27,635,743","352,143","Caracas"
"193","Vietnam","90,549,390","127,243","Hanoi"
"194","Yemen","24,133,492","203,849","Sanaa"
"195","Zambia","13,881,336","290,584","Lusaka"
"196","Zimbabwe","12,084,304","150,803","Harare"
