"","Country","Region","Subregion","Population","Christian"," %","Muslim"," %","Unaffiliated"," %","Hindu"," %","Buddhist"," %","Folk Religion"," %","Other Religion"," %","Jewish"," %"
"229","Country","Region","Subregion","Population","Christian","%","-Muslim-","%","Unaffiliated","%","Hindu","%","Buddhist","%","Folk Religion","%","Other Religion","%","Jewish","%"
"230"," Belize","Latin America and the Caribbean","Mexico and Central America","310 000","271 560","87.60 %","310","0.10 %","27 590","8.90 %","620","0.20 %","1 550","0.50 %","4 650","1.50 %","310","0.10 %","3 100","1.00 %"
"231"," Costa Rica","Latin America and the Caribbean","Mexico and Central America","4 660 000","4 235 940","90.90 %","0","0.00 %","368 140","7.90 %","0","0.00 %","0","0.00 %","37 280","0.80 %","13 980","0.30 %","0","0.00 %"
"232"," El Salvador","Latin America and the Caribbean","Mexico and Central America","6 190 000","5 459 580","88.20 %","0","0.00 %","680 900","11.00 %","0","0.00 %","0","0.00 %","30 950","0.50 %","18 570","0.30 %","0","0.00 %"
"233"," Guatemala","Latin America and the Caribbean","Mexico and Central America","14 390 000","13 699 280","95.20 %","0","0.00 %","589 990","4.10 %","0","0.00 %","0","0.00 %","86 340","0.60 %","10 000","0.07 %","0","0.00 %"
"234"," Honduras","Latin America and the Caribbean","Mexico and Central America","7 600 000","6 657 600","87.60 %","7 600","0.10 %","798 000","10.50 %","0","0.00 %","7 600","0.10 %","83 600","1.10 %","45 600","0.60 %","0","0.00 %"
"235"," Mexico","Latin America and the Caribbean","Mexico and Central America","113 420 000","107 862 420","95.10 %","0","0.00 %","5 330 740","4.70 %","0","0.00 %","0","0.00 %","70 000","0.06 %","20 000","0.02 %","70 000","0.06 %"
"236"," Nicaragua","Latin America and the Caribbean","Mexico and Central America","5 790 000","4 967 820","85.80 %","0","0.00 %","723 750","12.50 %","0","0.00 %","0","0.00 %","81 060","1.40 %","5 790","0.10 %","0","0.00 %"
"237"," Panama","Latin America and the Caribbean","Mexico and Central America","3 520 000","3 273 600","93.00 %","24 640","0.70 %","168 960","4.80 %","0","0.00 %","7 040","0.20 %","14 080","0.40 %","14 080","0.40 %","14 080","0.40 %"
"238","Mexico and Central America","Latin America and the Caribbean","Mexico and Central America","155 880 000","146 427 800","93.94 %","32 550","0.02 %","8 688 070","5.57 %","620","0.00 %","16 190","0.01 %","407 960","0.26 %","128 330","0.08 %","87 180","0.06 %"
"239","Country","Region","Subregion","Population","Christian","%","-Muslim-","%","Unaffiliated","%","Hindu","%","Buddhist","%","Folk Religion","%","Other Religion","%","Jewish","%"
"240"," Argentina","Latin America and the Caribbean","South America","40 410 000","34 429 320","85.20 %","404 100","1.00 %","4 930 020","12.20 %","0","0.00 %","20 000","0.05 %","323 280","0.80 %","121 230","0.30 %","202 050","0.50 %"
"241"," Bolivia","Latin America and the Caribbean","South America","9 930 000","9 324 270","93.90 %","0","0.00 %","407 130","4.10 %","0","0.00 %","0","0.00 %","89 370","0.90 %","99 300","1.00 %","0","0.00 %"
"242"," Brazil","Latin America and the Caribbean","South America","194 950 000","173 310 550","88.90 %","40 000","0.02 %","15 401 050","7.90 %","0","0.00 %","194 950","0.10 %","5 458 600","2.80 %","389 900","0.20 %","110 000","0.06 %"
"243"," Chile","Latin America and the Caribbean","South America","17 110 000","15 296 340","89.40 %","0","0.00 %","1 471 460","8.60 %","0","0.00 %","10 000","0.06 %","256 650","1.50 %","34 220","0.20 %","17 110","0.10 %"
"244"," Colombia","Latin America and the Caribbean","South America","46 290 000","42 818 250","92.50 %","10 000","0.02 %","3 055 140","6.60 %","0","0.00 %","0","0.00 %","370 320","0.80 %","40 000","0.09 %","0","0.00 %"
"245"," Ecuador","Latin America and the Caribbean","South America","14 460 000","13 606 860","94.10 %","0","0.00 %","795 300","5.50 %","0","0.00 %","0","0.00 %","43 380","0.30 %","0","0.00 %","0","0.00 %"
"246"," Falkland Islands","Latin America and the Caribbean","South America","3 000","2 016","67.20 %","9","0.30 %","945","31.50 %","0","0.00 %","6","0.20 %","0","0.00 %","24","0.80 %","0","0.00 %"
"247"," French Guiana","Latin America and the Caribbean","South America","230 000","194 120","84.40 %","2 070","0.90 %","7 820","3.40 %","3 680","1.60 %","0","0.00 %","20 930","9.10 %","1 150","0.50 %","0","0.00 %"
"248"," Guyana","Latin America and the Caribbean","South America","750 000","495 000","66.00 %","48 000","6.40 %","15 000","2.00 %","186 750","24.90 %","0","0.00 %","1 500","0.20 %","4 500","0.60 %","0","0.00 %"
"249"," Paraguay","Latin America and the Caribbean","South America","6 450 000","6 250 050","96.90 %","0","0.00 %","70 950","1.10 %","0","0.00 %","0","0.00 %","109 650","1.70 %","12 900","0.20 %","0","0.00 %"
"250"," Peru","Latin America and the Caribbean","South America","29 080 000","26 753 600","93.00 %","0","0.00 %","1 890 200","6.50 %","0","0.00 %","58 160","0.20 %","290 800","1.00 %","87 240","0.30 %","0","0.00 %"
"251"," Suriname","Latin America and the Caribbean","South America","520 000","268 320","51.60 %","79 040","15.20 %","28 080","5.40 %","102 960","19.80 %","3 120","0.60 %","27 560","5.30 %","9 360","1.80 %","1 040","0.20 %"
"252"," Uruguay","Latin America and the Caribbean","South America","3 370 000","1 951 230","57.90 %","0","0.00 %","1 371 590","40.70 %","0","0.00 %","0","0.00 %","26 960","0.80 %","10 110","0.30 %","10 110","0.30 %"
"253"," Venezuela","Latin America and the Caribbean","South America","28 980 000","25 879 140","89.30 %","86 940","0.30 %","2 898 000","10.00 %","0","0.00 %","0","0.00 %","57 960","0.20 %","20 000","0.07 %","0","0.00 %"
"254","South America","Latin America and the Caribbean","South America","392 533 000","351 596 866","89.57 %","670 159","0.17 %","31 324 885","7.98 %","293 390","0.07 %","286 236","0.07 %","7 076 960","1.80 %","829 934","0.21 %","340 310","0.09 %"
"255","Latin America and the Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","590 058 000","531 221 041","90.03 %","791 619","0.13 %","45 391 855","7.69 %","632 495","0.11 %","318 876","0.05 %","9 955 970","1.69 %","1 067 989","0.18 %","429 360","0.07 %"
"256","Country","Region","Subregion","Population","Christian","%","-Muslim-","%","Unaffiliated","%","Hindu","%","Buddhist","%","Folk Religion","%","Other Religion","%","Jewish","%"
"257"," Bermuda","Northern America","Northern America","60 000","45 000","75.00 %","660","1.10 %","11 640","19.40 %","0","0.00 %","300","0.50 %","1 800","3.00 %","480","0.80 %","180","0.30 %"
"258"," Canada","Northern America","Northern America","34 020 000","23 473 800","69.00 %","714 420","2.10 %","8 062 740","23.70 %","476 280","1.40 %","272 160","0.80 %","408 240","1.20 %","306 180","0.90 %","340 200","1.00 %"
"259"," Greenland","Northern America","Northern America","60 000","57 660","96.10 %","0","0.00 %","1 500","2.50 %","0","0.00 %","0","0.00 %","480","0.80 %","360","0.60 %","0","0.00 %"
"260"," Saint Pierre and Miquelon","Northern America","Northern America","6 000","5 682","94.70 %","12","0.20 %","228","3.80 %","0","0.00 %","0","0.00 %","0","0.00 %","78","1.30 %","0","0.00 %"
"261"," United States","Northern America","Northern America","310 380 000","243 027 540","78.30 %","2 793 420","0.90 %","50 902 320","16.40 %","1 862 280","0.60 %","3 724 560","1.20 %","620 760","0.20 %","1 862 280","0.60 %","5 586 840","1.80 %"
"262","Northern America","Northern America","Northern America","344 526 000","266 609 682","77.38 %","3 508 512","1.02 %","58 978 428","17.12 %","2 338 560","0.68 %","3 997 020","1.16 %","1 031 280","0.30 %","2 169 378","0.63 %","5 927 220","1.72 %"
"263","Country","Region","Subregion","Population","Christian","%","-Muslim-","%","Unaffiliated","%","Hindu","%","Buddhist","%","Folk Religion","%","Other Religion","%","Jewish","%"
"264"," Bahrain","The Middle East and North Africa","The Middle East","1 260 000","182 700","14.50 %","885 780","70.30 %","23 940","1.90 %","123 480","9.80 %","31 500","2.50 %","0","0.00 %","2 520","0.20 %","7 560","0.60 %"
"265"," Iraq","The Middle East and North Africa","The Middle East","31 670 000","253 360","0.80 %","31 353 300","99.00 %","31 670","0.10 %","0","0.00 %","0","0.00 %","0","0.00 %","20 000","0.06 %","0","0.00 %"
"266"," Israel","The Middle East and North Africa","The Middle East","7 420 000","148 400","2.00 %","1 380 120","18.60 %","230 020","3.10 %","0","0.00 %","22 260","0.30 %","14 840","0.20 %","7 420","0.10 %","5 609 520","75.60 %"
"267"," Jordan","The Middle East and North Africa","The Middle East","6 190 000","136 180","2.20 %","6 016 680","97.20 %","0","0.00 %","6 190","0.10 %","24 760","0.40 %","0","0.00 %","0","0.00 %","0","0.00 %"
"268"," Kuwait","The Middle East and North Africa","The Middle East","2 740 000","391 820","14.30 %","2 030 340","74.10 %","0","0.00 %","232 900","8.50 %","76 720","2.80 %","0","0.00 %","8 220","0.30 %","0","0.00 %"
"269"," Lebanon","The Middle East and North Africa","The Middle East","4 230 000","1 620 090","38.30 %","2 592 990","61.30 %","12 690","0.30 %","0","0.00 %","8 460","0.20 %","0","0.00 %","0","0.00 %","0","0.00 %"
"270"," Oman","The Middle East and North Africa","The Middle East","2 780 000","180 700","6.50 %","2 388 020","85.90 %","5 560","0.20 %","152 900","5.50 %","22 240","0.80 %","0","0.00 %","27 800","1.00 %","0","0.00 %"
"271"," Palestine","The Middle East and North Africa","The Middle East","4 040 000","96 960","2.40 %","3 943 040","97.60 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"272"," Qatar","The Middle East and North Africa","The Middle East","1 760 000","242 880","13.80 %","1 191 520","67.70 %","15 840","0.90 %","242 880","13.80 %","54 560","3.10 %","0","0.00 %","12 320","0.70 %","0","0.00 %"
"273"," Saudi Arabia","The Middle East and North Africa","The Middle East","27 450 000","1 207 800","4.40 %","25 528 500","93.00 %","192 150","0.70 %","301 950","1.10 %","82 350","0.30 %","82 350","0.30 %","82 350","0.30 %","0","0.00 %"
"274"," Syria","The Middle East and North Africa","The Middle East","20 410 000","1 061 320","5.20 %","18 940 480","92.80 %","408 200","2.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"275"," United Arab Emirates","The Middle East and North Africa","The Middle East","7 510 000","946 260","12.60 %","5 775 190","76.90 %","82 610","1.10 %","495 660","6.60 %","150 200","2.00 %","0","0.00 %","60 080","0.80 %","0","0.00 %"
"276"," Yemen","The Middle East and North Africa","The Middle East","24 050 000","48 100","0.20 %","23 833 550","99.10 %","24 050","0.10 %","144 300","0.60 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"277","The Middle East","The Middle East and North Africa","The Middle East","141 510 000","6 516 570","4.61 %","125 859 510","88.94 %","1 026 730","0.73 %","1 700 260","1.20 %","473 050","0.33 %","97 190","0.07 %","220 710","0.16 %","5 617 080","3.97 %"
"278","Country","Region","Subregion","Population","Christian","%","-Muslim-","%","Unaffiliated","%","Hindu","%","Buddhist","%","Folk Religion","%","Other Religion","%","Jewish","%"
"279"," Algeria","The Middle East and North Africa","North Africa","35 470 000","70 940","0.20 %","34 725 130","97.90 %","638 460","1.80 %","0","0.00 %","0","0.00 %","10 000","0.03 %","0","0.00 %","0","0.00 %"
"280"," Egypt","The Middle East and North Africa","North Africa","81 120 000","4 137 120","5.10 %","76 982 880","94.90 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"281"," Libya","The Middle East and North Africa","North Africa","6 360 000","171 720","2.70 %","6 143 760","96.60 %","12 720","0.20 %","0","0.00 %","19 080","0.30 %","0","0.00 %","0","0.00 %","0","0.00 %"
"282"," Morocco","The Middle East and North Africa","North Africa","31 950 000","20 000","0.06 %","31 918 050","99.90 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"283"," Sudan","The Middle East and North Africa","North Africa","33 600 000","1 814 400","5.40 %","30 475 200","90.70 %","336 000","1.00 %","0","0.00 %","0","0.00 %","940 800","2.80 %","0","0.00 %","0","0.00 %"
"284"," Tunisia","The Middle East and North Africa","North Africa","10 480 000","20 960","0.20 %","10 427 600","99.50 %","20 960","0.20 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"285"," Western Sahara","The Middle East and North Africa","North Africa","530 000","1 060","0.20 %","526 820","99.40 %","2 120","0.40 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"286","North Africa","The Middle East and North Africa","North Africa","199 510 000","6 236 200","3.13 %","191 199 440","95.83 %","1 010 260","0.51 %","0","0.00 %","19 080","0.01 %","950 800","0.48 %","0","0.00 %","0","0.00 %"
"287","The Middle East and North Africa","The Middle East and North Africa","The Middle East and North Africa","341 020 000","12 752 770","3.74 %","317 058 950","92.97 %","2 036 990","0.60 %","1 700 260","0.50 %","492 130","0.14 %","1 047 990","0.31 %","220 710","0.06 %","5 617 080","1.65 %"
"288","World","World","World","6 895 806 200","2 172 804 407","31.51 %","1 598 145 602","23.18 %","1 125 764 242","16.33 %","1 032 750 475","14.98 %","488 087 716","7.08 %","404 663 436","5.87 %","58 789 445","0.85 %","13 653 580","0.20 %"
